ili_id	status	superseded_by	origin	used_by	definition
i41331	1		pwn-3.0:01131425-n	pwn-3.0:01131425-n;wnja-1.9.0:01131425-n	a duty that is incumbent upon you
i41332	1		pwn-3.0:01131515-n	pwn-3.0:01131515-n;wnja-1.9.0:01131515-n	acts which the law requires be done or forborne
i41333	1		pwn-3.0:01131656-n	pwn-3.0:01131656-n;wnja-1.9.0:01131656-n	the legal duty of a fiduciary to act in the best interests of the beneficiary
i41334	1		pwn-3.0:01131794-n	pwn-3.0:01131794-n;wnja-1.9.0:01131794-n	the care that a reasonable man would exercise under the circumstances; the standard for determining legal duty
i41335	1		pwn-3.0:01131993-n	pwn-3.0:01131993-n;wnja-1.9.0:01131993-n	supervised care for delinquent or neglected children usually in an institution or substitute home
i41336	1		pwn-3.0:01132148-n	pwn-3.0:01132148-n;wnja-1.9.0:01132148-n	more attention and consideration than is normally bestowed by prudent persons
i41337	1		pwn-3.0:01132327-n	pwn-3.0:01132327-n;wnja-1.9.0:01132327-n;wnb_id-2.0:01132327-n;wnb_zsm-2.0:01132327-n	the guardianship and control exercised by a deity
i41338	1		pwn-3.0:01132472-n	pwn-3.0:01132472-n;wnja-1.9.0:01132472-n	such care as a careless or inattentive person would exercise
i41339	1		pwn-3.0:01132590-n	pwn-3.0:01132590-n;wnja-1.9.0:01132590-n	all that is normally required in some area of responsibility
i41340	1		pwn-3.0:01132709-n	pwn-3.0:01132709-n;wnja-1.9.0:01132709-n	the supposed responsibility of the white race to provide care for their non-white subjects
i41341	1		pwn-3.0:01132864-n	pwn-3.0:01132864-n;wnja-1.9.0:01132864-n;wnb_id-2.0:01132864-n;wnb_zsm-2.0:01132864-n	behavior intended to please your parents
i41342	1		pwn-3.0:01133106-n	pwn-3.0:01133106-n;omw-arb-1.4:01133106-n;omw-bg-1.4:01133106-n;wnja-1.9.0:01133106-n;wnb_id-2.0:01133106-n;wnb_zsm-2.0:01133106-n	the control of a country by military forces of a foreign power
i41343	1		pwn-3.0:01133281-n	pwn-3.0:01133281-n;omw-sq-1.4:01133281-n;omw-arb-1.4:01133281-n;omw-bg-1.4:01133281-n;wnja-1.9.0:01133281-n;wnb_id-2.0:01133281-n;wnb_zsm-2.0:01133281-n	the act of managing something
i41344	1		pwn-3.0:01133760-n	pwn-3.0:01133760-n;wnja-1.9.0:01133760-n	the direction of an orchestra or choir
i41345	1		pwn-3.0:01133933-n	pwn-3.0:01133933-n;wnja-1.9.0:01133933-n	creation and maintenance of a database
i41346	1		pwn-3.0:01134037-n	pwn-3.0:01134037-n;omw-bg-1.4:01134037-n;wnja-1.9.0:01134037-n;wnb_id-2.0:01134037-n;wnb_zsm-2.0:01134037-n	the management of money and credit and banking and investments
i41347	1		pwn-3.0:01134244-n	pwn-3.0:01134244-n;wnja-1.9.0:01134244-n	the management of a household
i41348	1		pwn-3.0:01134330-n	pwn-3.0:01134330-n;wnja-1.9.0:01134330-n	bad or dishonest management by persons supposed to act on another's behalf
i41349	1		pwn-3.0:01134479-n	pwn-3.0:01134479-n;wnja-1.9.0:01134479-n;wnb_zsm-2.0:01134479-n	management that is careless or inefficient
i41350	1		pwn-3.0:01134699-n	pwn-3.0:01134699-n;wnja-1.9.0:01134699-n	the complete mismanagement or mishandling of a situation
i41351	1		pwn-3.0:01134861-n	pwn-3.0:01134861-n;omw-sq-1.4:01134861-n;omw-arb-1.4:01134861-n;omw-bg-1.4:01134861-n;wnja-1.9.0:01134861-n;wnb_id-2.0:01134861-n;wnb_zsm-2.0:01134861-n	the management of someone or something
